"","date_time","air_temp_3m","lw_dn_avg","lw_up_avg","sw_dn_avg","sw_up_avg"
"1",2015-04-21 01:00:00,-3.219,299.8,276,-5.962,-6.651
"2",2015-04-21 02:00:00,-3.376,300,276.1,-3.618,-6.22
"3",2015-04-21 03:00:00,-3.633,301,285.6,-3.76,-5.791
"4",2015-04-21 04:00:00,-3.844,298.5,277.4,-5.295,-6.415
"5",2015-04-21 05:00:00,-3.84,300.2,291.6,-2.832,-3.497
"6",2015-04-21 06:00:00,-4.107,300.3,295.4,9.07,12.67
"7",2015-04-21 07:00:00,-4.161,300.1,295.9,35.14,42.83
"8",2015-04-21 08:00:00,-4.349,299.6,295.4,75.95,91.6
"9",2015-04-21 09:00:00,-4.801,297.8,293.2,133.2,155
"10",2015-04-21 10:00:00,-4.851,297.2,292.7,220.3,242.4
"11",2015-04-21 11:00:00,-4.477,299.2,293.9,243.8,263.9
"12",2015-04-21 12:00:00,-4.887,298.4,292.5,298.5,323.9
"13",2015-04-21 13:00:00,-4.254,302.2,302.4,394.2,428.3
"14",2015-04-21 14:00:00,-3.996,302.5,295,398.5,435.7
"15",2015-04-21 15:00:00,-4.118,301.1,292.8,298.9,328.7
"16",2015-04-21 16:00:00,-4.147,301.1,287.8,305.8,340.5
"17",2015-04-21 17:00:00,-4.992,297.2,289.9,223.1,247.7
"18",2015-04-21 18:00:00,-4.555,298.8,289.1,189.8,209.5
"19",2015-04-21 19:00:00,-4.584,296.5,286.5,107.4,119.3
"20",2015-04-21 20:00:00,-5.14,295.2,288.5,58.12,62.88
"21",2015-04-21 21:00:00,-5.194,294.1,290.2,15.73,16.97
"22",2015-04-21 22:00:00,-5.113,293.5,291.8,-2.327,-2.91
"23",2015-04-21 23:00:00,-5.046,292.8,289.8,-5.304,-5.339
"24",2015-04-21 00:00:00,-5.066,292.5,288.8,-4.37,-4.982
"25",2015-04-22 01:00:00,-5.186,290.1,281.9,-4.149,-5.23
"26",2015-04-22 02:00:00,-5.281,290.6,285.2,-3.86,-5.116
"27",2015-04-22 03:00:00,-5.448,286.9,278.1,-3.557,-5.597
"28",2015-04-22 04:00:00,-6.432,279.6,269.3,-3.698,-5.209
"29",2015-04-22 05:00:00,-6.668,283.1,276.5,1.364,-0.2
"30",2015-04-22 06:00:00,-7.56,270,241.4,18.39,18.33
"31",2015-04-22 07:00:00,-10.67,263,227.8,77.83,84.2
"32",2015-04-22 08:00:00,-9.84,265.6,220.4,159.8,176
"33",2015-04-22 09:00:00,-6.333,279.8,229.3,219.3,248.8
"34",2015-04-22 10:00:00,-5.301,286.6,230,335.6,387.2
"35",2015-04-22 11:00:00,-4.374,293.5,222.7,437,513.8
"36",2015-04-22 12:00:00,-3.668,296.1,217.6,487,571.3
"37",2015-04-22 13:00:00,-2.7,301.8,214.6,553.3,660.8
"38",2015-04-22 14:00:00,-2.543,302.1,214,521.8,642.2
"39",2015-04-22 15:00:00,-2.415,301.1,217.9,461.5,561.7
"40",2015-04-22 16:00:00,-3.186,294.3,225.5,274.9,328.6
"41",2015-04-22 17:00:00,-3.324,294.9,249.9,211.5,245.5
"42",2015-04-22 18:00:00,-2.677,297,255.5,196.5,228.7
"43",2015-04-22 19:00:00,-3.089,294.4,244.3,136.8,162.3
"44",2015-04-22 20:00:00,-3.794,289.1,228.2,76.4,91.3
"45",2015-04-22 21:00:00,-4.795,282.5,215.5,17.57,18.29
"46",2015-04-22 22:00:00,-4.291,286.7,234.7,-2.328,-4.1
"47",2015-04-22 23:00:00,-3.526,292.4,257.1,-5.47,-6.432
"48",2015-04-22 00:00:00,-3.402,292,261.3,-5.842,-6.864
"49",2015-04-23 01:00:00,-2.754,292.3,257,-6.263,-6.988
"50",2015-04-23 02:00:00,-3.263,290.4,252.5,-6.177,-7.53
"51",2015-04-23 03:00:00,-2.38,291.4,255.6,-6.008,-7.365
"52",2015-04-23 04:00:00,-2.511,291.3,256.3,-6.095,-7.458
"53",2015-04-23 05:00:00,-2.681,291.3,240.7,-0.804,-0.996
