"date","hour","air_temp_3m","lw_dn_avg","lw_up_avg","sw_dn_avg","sw_up_avg"
2015-04-21,100,-3.219,299.8,276,-5.962,-6.651
2015-04-21,200,-3.376,300,276.1,-3.618,-6.22
2015-04-21,300,-3.633,301,285.6,-3.76,-5.791
2015-04-21,400,-3.844,298.5,277.4,-5.295,-6.415
2015-04-21,500,-3.84,300.2,291.6,-2.832,-3.497
2015-04-21,600,-4.107,300.3,295.4,9.07,12.67
2015-04-21,700,-4.161,300.1,295.9,35.14,42.83
2015-04-21,800,-4.349,299.6,295.4,75.95,91.6
2015-04-21,900,-4.801,297.8,293.2,133.2,155
2015-04-21,1000,-4.851,297.2,292.7,220.3,242.4
2015-04-21,1100,-4.477,299.2,293.9,243.8,263.9
2015-04-21,1200,-4.887,298.4,292.5,298.5,323.9
2015-04-21,1300,-4.254,302.2,302.4,394.2,428.3
2015-04-21,1400,-3.996,302.5,295,398.5,435.7
2015-04-21,1500,-4.118,301.1,292.8,298.9,328.7
2015-04-21,1600,-4.147,301.1,287.8,305.8,340.5
2015-04-21,1700,-4.992,297.2,289.9,223.1,247.7
2015-04-21,1800,-4.555,298.8,289.1,189.8,209.5
2015-04-21,1900,-4.584,296.5,286.5,107.4,119.3
2015-04-21,2000,-5.14,295.2,288.5,58.12,62.88
2015-04-21,2100,-5.194,294.1,290.2,15.73,16.97
2015-04-21,2200,-5.113,293.5,291.8,-2.327,-2.91
2015-04-21,2300,-5.046,292.8,289.8,-5.304,-5.339
2015-04-21,2400,-5.066,292.5,288.8,-4.37,-4.982
2015-04-22,100,-5.186,290.1,281.9,-4.149,-5.23
2015-04-22,200,-5.281,290.6,285.2,-3.86,-5.116
2015-04-22,300,-5.448,286.9,278.1,-3.557,-5.597
2015-04-22,400,-6.432,279.6,269.3,-3.698,-5.209
2015-04-22,500,-6.668,283.1,276.5,1.364,-0.2
2015-04-22,600,-7.56,270,241.4,18.39,18.33
2015-04-22,700,-10.67,263,227.8,77.83,84.2
2015-04-22,800,-9.84,265.6,220.4,159.8,176
2015-04-22,900,-6.333,279.8,229.3,219.3,248.8
2015-04-22,1000,-5.301,286.6,230,335.6,387.2
2015-04-22,1100,-4.374,293.5,222.7,437,513.8
2015-04-22,1200,-3.668,296.1,217.6,487,571.3
2015-04-22,1300,-2.7,301.8,214.6,553.3,660.8
2015-04-22,1400,-2.543,302.1,214,521.8,642.2
2015-04-22,1500,-2.415,301.1,217.9,461.5,561.7
2015-04-22,1600,-3.186,294.3,225.5,274.9,328.6
2015-04-22,1700,-3.324,294.9,249.9,211.5,245.5
2015-04-22,1800,-2.677,297,255.5,196.5,228.7
2015-04-22,1900,-3.089,294.4,244.3,136.8,162.3
2015-04-22,2000,-3.794,289.1,228.2,76.4,91.3
2015-04-22,2100,-4.795,282.5,215.5,17.57,18.29
2015-04-22,2200,-4.291,286.7,234.7,-2.328,-4.1
2015-04-22,2300,-3.526,292.4,257.1,-5.47,-6.432
2015-04-22,2400,-3.402,292,261.3,-5.842,-6.864
2015-04-23,100,-2.754,292.3,257,-6.263,-6.988
2015-04-23,200,-3.263,290.4,252.5,-6.177,-7.53
2015-04-23,300,-2.38,291.4,255.6,-6.008,-7.365
2015-04-23,400,-2.511,291.3,256.3,-6.095,-7.458
2015-04-23,500,-2.681,291.3,240.7,-0.804,-0.996
2015-04-23,600,-2.892,290.1,236.4,33.3,42.78
2015-04-23,700,-2.513,295.8,255.6,114.1,144.9
2015-04-23,800,-2.412,297,239.2,230.1,262.1
2015-04-23,900,-2.174,298.6,222.5,329.1,382.6
2015-04-23,1000,-1.477,301.9,222.1,397,475.7
2015-04-23,1100,-1.007,305.1,223.9,441.1,538.8
2015-04-23,1200,-0.532,305.2,230.1,420.4,521.2
2015-04-23,1300,-0.11,309,231.1,513.1,647.9
2015-04-23,1400,-0.021,308.3,229.7,463.3,585.2
2015-04-23,1500,0.024,306.3,228.1,377.5,474.6
2015-04-23,1600,0.13,306.9,225,399.7,507.6
2015-04-23,1700,-0.214,304.4,220.9,349.6,445.7
2015-04-23,1800,-0.844,299.6,217.7,267.4,340.7
2015-04-23,1900,-1.541,292.8,217,174.4,220.3
2015-04-23,2000,-1.788,288.5,216.8,97.1,122.8
2015-04-23,2100,-2.802,283.3,218.3,33.67,42.8
2015-04-23,2200,-3.52,283.7,236.3,-0.959,-1.78
2015-04-23,2300,-3.892,279.7,223,-5.895,-8.7
2015-04-23,2400,-4.677,275.1,213,-5.82,-9.14
2015-04-24,100,-5.574,271.9,211.7,-5.808,-8.86
2015-04-24,200,-6.383,269.7,209.4,-5.78,-8.72
2015-04-24,300,-7.837,264.6,204.9,-5.799,-8.75
2015-04-24,400,-7.933,262.5,203,-4.91,-7.847
2015-04-24,500,-8.11,262.7,201.9,2.572,0.584
2015-04-24,600,-7.814,264.3,199.8,52.63,53.91
2015-04-24,700,-9.01,264.6,198.4,136.8,151
2015-04-24,800,-7.919,270.2,199.4,232,266.1
2015-04-24,900,-6.265,277,201,322.9,382
2015-04-24,1000,-4.652,284.5,206.2,402.4,487.6
2015-04-24,1100,-3.794,292.4,209.3,466.9,574.6
2015-04-24,1200,-0.692,305.1,218.4,524,660.2
2015-04-24,1300,0.091,312.9,249.5,540,671.1
2015-04-24,1400,0.292,312.3,257.2,470.6,574.6
2015-04-24,1500,0.525,312,263.4,454.8,552.4
2015-04-24,1600,1.262,316.8,255.9,506.7,628.1
2015-04-24,1700,1.236,314,266,359.4,433
2015-04-24,1800,0.82,309,261.3,282.8,344.7
2015-04-24,1900,0.04,308.5,273.5,226.9,278.3
2015-04-24,2000,0.284,306.6,269.1,150,190.6
2015-04-24,2100,-0.182,302,268.2,58.38,77.25
2015-04-24,2200,-1.458,294.7,250.4,-0.078,-0.669
2015-04-24,2300,-3.63,284,229.5,-5.686,-8.16
2015-04-24,2400,-4.175,281,223.8,-5.794,-8.84
2015-04-25,100,-4.204,281,222.1,-6.051,-9.15
2015-04-25,200,-4.641,279,221.6,-6.073,-9
2015-04-25,300,-5.564,276,219.5,-6.068,-8.59
2015-04-25,400,-6.67,272.1,218.7,-5.109,-7.514
2015-04-25,500,-6.337,272.8,219.8,3.899,2.39
2015-04-25,600,-6.027,275.4,220.8,43.88,44.9
2015-04-25,700,-5.676,276.7,221.4,134.6,146
2015-04-25,800,-4.941,282.9,223.8,234.3,266
2015-04-25,900,-5.018,284.8,224.8,267.4,314.3
2015-04-25,1000,-3.73,295.8,229.7,402.3,489
2015-04-25,1100,-1.743,305.1,230.7,459.5,566.2
2015-04-25,1200,-0.24,311.3,232,493.2,616.7
2015-04-25,1300,0.322,315.3,234.1,508.9,645
2015-04-25,1400,1.424,318.1,234.3,502.1,637.4
2015-04-25,1500,1.36,317.8,234.2,469.7,600.1
2015-04-25,1600,1.86,314.5,233.6,419.4,534.8
2015-04-25,1700,0.561,309.9,231.7,351,449.2
2015-04-25,1800,-0.264,302.9,229.7,270.4,344.6
2015-04-25,1900,-0.82,294.6,227.4,184.8,235.4
2015-04-25,2000,-3.286,285.8,223.6,101.7,131.4
2015-04-25,2100,-6.202,277.6,219.5,36.91,49.21
2015-04-25,2200,-8.43,269.5,216,2.843,2.814
2015-04-25,2300,-9.63,264.3,213.8,-4.123,-6.6
2015-04-25,2400,-10.5,260.9,212.9,-4.884,-7.042
2015-04-26,100,-9.78,261.4,213.6,-5.151,-7.163
2015-04-26,200,-9.63,261.5,214,-5.167,-7.225
2015-04-26,300,-9.29,261.5,214,-5.261,-7.315
2015-04-26,400,-9.08,260.7,214.2,-4.108,-6.128
2015-04-26,500,-9.85,259,214,6.71,5.911
2015-04-26,600,-9.73,261.8,214.6,61.44,66.13
2015-04-26,700,-8.44,268.5,216.9,140.5,157.8
2015-04-26,800,-6.923,276.5,219.6,229.1,266
2015-04-26,900,-4.757,286.6,223.4,317.3,377.6
2015-04-26,1000,-2.72,296.6,227.9,396.4,481.6
2015-04-26,1100,-1.294,305.7,230.8,454.7,563.1
2015-04-26,1200,-1.282,311.6,231.5,492.2,619
2015-04-26,1300,-0.904,314.2,232,501.3,644.5
2015-04-26,1400,-0.718,315.4,232.9,493.5,638.1
2015-04-26,1500,-2.59,309.9,230,460.6,603.7
2015-04-26,1600,-2.723,306.9,228.9,410.9,540.3
2015-04-26,1700,-3.923,300.8,226.2,344.5,453.7
2015-04-26,1800,-4.388,295.3,224.7,264.4,348.4
2015-04-26,1900,-4.185,290.2,224.3,183.8,238.1
2015-04-26,2000,-6.005,281.1,221.4,104.2,135.5
2015-04-26,2100,-7.269,273.5,219.6,39.48,51.6
2015-04-26,2200,-9.27,266.7,217.1,4.254,4.468
2015-04-26,2300,-9.93,263.1,216,-3.784,-6.081
2015-04-26,2400,-11.24,259.1,214.4,-4.409,-6.616
2015-04-27,100,-11.52,256.6,213.8,-3.875,-6.622
2015-04-27,200,-12.86,252.6,215.8,-3.414,-6.269
2015-04-27,300,-13.04,252,215.5,-4.059,-6.031
2015-04-27,400,-12.71,252.1,214.7,-3.048,-4.663
2015-04-27,500,-13.38,248.8,211.1,11.44,9.89
2015-04-27,600,-13.24,250.7,211.1,73.04,76.54
2015-04-27,700,-12.7,255.2,212.1,139.2,154.1
