"date","hour","soil1_moss","soil1_5cm","soil1_10cm","soil1_20cm","soil1_50cm","soil1_100cm","soil1_150cm"
2015-04-21,300,-2.278,-2.109,-2.325,-2.351,-2.312,-1.977,-1.494
2015-04-21,600,-2.237,-2.071,-2.283,-2.309,-2.286,-1.972,-1.498
2015-04-21,900,-2.183,-2.023,-2.233,-2.26,-2.25,-1.958,-1.495
2015-04-21,1200,-2.149,-1.966,-2.184,-2.22,-2.219,-1.947,-1.501
2015-04-21,1500,-2.065,-1.897,-2.109,-2.147,-2.16,-1.909,-1.478
2015-04-21,1800,-2.038,-1.872,-2.088,-2.123,-2.148,-1.913,-1.488
2015-04-21,2100,-2.002,-1.864,-2.066,-2.09,-2.129,-1.911,-1.488
2015-04-21,2400,-2.001,-1.871,-2.058,-2.075,-2.119,-1.917,-1.505
2015-04-22,300,-1.977,-1.856,-2.035,-2.046,-2.096,-1.908,-1.507
2015-04-22,600,-1.942,-1.846,-2.016,-2.013,-2.074,-1.901,-1.505
2015-04-22,900,-1.988,-1.871,-2.038,-2.031,-2.089,-1.925,-1.542
2015-04-22,1200,-1.976,-1.803,-1.973,-1.999,-2.041,-1.881,-1.532
2015-04-22,1500,-1.86,-1.718,-1.885,-1.908,-1.971,-1.823,-1.473
2015-04-22,1800,-1.83,-1.715,-1.875,-1.887,-1.956,-1.821,-1.47
2015-04-22,2100,-1.827,-1.727,-1.876,-1.88,-1.95,-1.822,-1.48
2015-04-22,2400,-1.885,-1.756,-1.899,-1.903,-1.962,-1.84,-1.516
2015-04-23,300,-1.858,-1.733,-1.871,-1.875,-1.936,-1.82,-1.504
2015-04-23,600,-1.84,-1.723,-1.85,-1.852,-1.914,-1.805,-1.496
2015-04-23,900,-1.87,-1.726,-1.839,-1.849,-1.899,-1.793,-1.505
2015-04-23,1200,-1.834,-1.68,-1.789,-1.803,-1.851,-1.746,-1.472
2015-04-23,1500,-1.794,-1.658,-1.763,-1.763,-1.826,-1.727,-1.445
2015-04-23,1800,-1.754,-1.65,-1.741,-1.726,-1.804,-1.715,-1.417
2015-04-23,2100,-1.756,-1.692,-1.763,-1.734,-1.804,-1.72,-1.431
2015-04-23,2400,-1.818,-1.762,-1.817,-1.781,-1.834,-1.747,-1.479
2015-04-24,300,-1.834,-1.8,-1.844,-1.793,-1.846,-1.761,-1.496
2015-04-24,600,-1.897,-1.872,-1.888,-1.826,-1.87,-1.785,-1.529
2015-04-24,900,-1.946,-1.909,-1.892,-1.836,-1.858,-1.771,-1.536
2015-04-24,1200,-1.945,-1.87,-1.83,-1.798,-1.794,-1.699,-1.497
2015-04-24,1500,-1.852,-1.844,-1.785,-1.731,-1.746,-1.66,-1.433
2015-04-24,1800,-1.837,-1.846,-1.769,-1.701,-1.717,-1.632,-1.399
2015-04-24,2100,-1.805,-1.87,-1.783,-1.693,-1.709,-1.628,-1.383
2015-04-24,2400,-1.849,-1.925,-1.844,-1.743,-1.744,-1.658,-1.423
2015-04-25,300,-1.93,-1.956,-1.901,-1.807,-1.793,-1.701,-1.478
2015-04-25,600,-1.945,-1.958,-1.916,-1.825,-1.811,-1.713,-1.495
2015-04-25,900,-1.982,-1.943,-1.901,-1.837,-1.801,-1.697,-1.504
2015-04-25,1200,-1.981,-1.879,-1.847,-1.812,-1.764,-1.651,-1.48
2015-04-25,1500,-1.847,-1.786,-1.763,-1.715,-1.7,-1.592,-1.396
2015-04-25,1800,-1.706,-1.719,-1.699,-1.621,-1.65,-1.555,-1.312
2015-04-25,2100,-1.686,-1.763,-1.734,-1.635,-1.666,-1.575,-1.324
2015-04-25,2400,-1.855,-1.907,-1.879,-1.771,-1.772,-1.671,-1.446
2015-04-26,300,-1.959,-1.946,-1.936,-1.843,-1.826,-1.718,-1.513
2015-04-26,600,-1.948,-1.936,-1.924,-1.834,-1.821,-1.711,-1.508
2015-04-26,900,-2.012,-1.947,-1.918,-1.851,-1.817,-1.7,-1.522
2015-04-26,1200,-1.967,-1.856,-1.816,-1.784,-1.73,-1.607,-1.457
2015-04-26,1500,-1.778,-1.776,-1.728,-1.657,-1.652,-1.539,-1.344
2015-04-26,1800,-1.78,-1.818,-1.761,-1.66,-1.671,-1.565,-1.344
2015-04-26,2100,-1.83,-1.888,-1.824,-1.71,-1.711,-1.61,-1.384
2015-04-26,2400,-1.888,-1.955,-1.9,-1.775,-1.761,-1.653,-1.44
2015-04-27,300,-1.947,-1.981,-1.95,-1.829,-1.81,-1.698,-1.49
2015-04-27,600,-1.989,-2.007,-1.972,-1.858,-1.833,-1.715,-1.519
2015-04-27,900,-2.031,-2.019,-1.959,-1.864,-1.817,-1.693,-1.521
2015-04-27,1200,-2.044,-1.962,-1.89,-1.828,-1.76,-1.623,-1.482
2015-04-27,1500,-1.828,-1.873,-1.785,-1.681,-1.661,-1.539,-1.347
2015-04-27,1800,-1.846,-1.934,-1.82,-1.685,-1.678,-1.561,-1.342
2015-04-27,2100,-1.891,-2.022,-1.887,-1.731,-1.715,-1.601,-1.374
2015-04-27,2400,-1.97,-2.119,-1.984,-1.814,-1.773,-1.651,-1.437
2015-04-28,300,-2.058,-2.177,-2.058,-1.885,-1.833,-1.703,-1.496
2015-04-28,600,-2.124,-2.228,-2.097,-1.929,-1.864,-1.725,-1.528
2015-04-28,900,-2.205,-2.247,-2.085,-1.952,-1.844,-1.692,-1.536
2015-04-28,1200,-2.153,-2.168,-1.988,-1.881,-1.758,-1.593,-1.459
2015-04-28,1500,-1.973,-2.104,-1.91,-1.757,-1.681,-1.527,-1.338
